Name,Current price,Change(%),Open,High,Low,Volume
BRIGHTHOUSE FINANCIAL INC.,41.96,10.47,42.42,42.46,41.46,588556
OMNICELL INC.,40.85,1.62,40.31,41.12,39.54,587094
BIOGEN INC.,202.0,11.01,203.12,204.36,199.86,586752
GRIFOLS S.A. ADS,7.21,12.3,7.36,7.39,7.14,585273
BLUE HAT INTERACTIVE ENTERTAINMENT TECH,0.4491,121.2,0.5591,0.5701,0.411,585250
GOLDEN OCEAN GROUP,11.67,10.6,11.67,11.72,11.59,583509
IAC INC.,49.59,10.12,49.49,49.69,48.31,583492
IMMUNEERING CORP.,1.09,12.68,1.09,1.14,1.08,582559
ZAI LAB LTD.,16.26,15.74,17.07,17.36,16.01,581522
FULCRUM THERAPEUTICS INC.,8.86,11.01,8.95,9.01,8.43,580841
C4 THERAPEUTICS INC.,5.4,16.74,5.82,5.89,5.28,580592
COMPASS THERAPEUTICS INC.,1.09,7.92,1.07,1.18,1.07,578307
AZENTA INC.,55.27,11.11,56.28,56.28,54.59,578253
INNOVIZ TECHNOLOGIES,0.7135,12.81,0.73,0.74,0.7077,572472
PROTHENA CORP.,20.55,4.42,21.65,23.66,20.0,568747
BROOKLINE BANCORP INC.,9.53,10.83,9.57,9.63,9.38,568479
NEOGENOMICS INC.,16.55,12.19,17.01,17.1,16.16,568117
AVNET INC.,52.95,10.79,52.87,53.41,51.82,568047
ICU MEDICAL INC.,152.71,0.9,151.93,153.09,144.15,567547
SCHOLAR ROCK HOLDING,8.45,3.43,8.3,8.75,8.3,567492
CDW CORP.,213.73,0.67,212.0,213.98,210.76,567426
FOSSIL GROUP INC.,1.11,12.63,1.16,1.17,1.07,565637
NEWEGG COMMERCE INC.,0.8163,3.93,0.899,0.899,0.79,563176
FIRST WATCH RESTAURANT GROUP,16.23,12.76,16.72,16.9,16.13,561476
IDEAYA BIOSCIENCES INC.,37.89,0.82,37.56,38.51,37.24,560125
NORTHWEST BANCSHARES INC.,12.77,10.85,12.9,12.9,12.62,559961
ALLBIRDS INC.,0.6182,11.87,0.65,0.65,0.6152,559780
APPIAN CORP.,28.23,10.56,28.4,28.6,27.84,559569
CHECK POINT SOFTWARE TECHNOLOGIES,184.39,2.72,180.31,184.51,179.26,558750
CENTRAL GARDEN & PET CO.,33.54,13.01,34.48,34.48,33.11,558076
TRANSCODE THERAPEUTICS INC.,0.2613,1.12,0.2658,0.268,0.2502,554620
BLUEJAY DIAGNOSTICS INC.,0.359,11.99,0.3643,0.38,0.3451,554259
ITRON INC.,98.45,10.28,98.25,99.52,97.05,554056
ZURA BIO LTD.,3.39,14.24,3.53,3.56,3.33,553578
SCHRODINGER INC.,18.91,11.97,19.51,19.65,18.77,553435
COGENT BIOSCIENCES INC.,8.58,13.49,8.92,8.96,8.47,553346
INTERFACE INC.,16.44,10.18,16.45,16.45,16.21,552857
XPEL INC.,44.47,15.16,46.89,47.59,43.71,551896
EYENOVIA INC.,0.86,12.49,0.8855,0.9113,0.85,551310
TTM TECHNOLOGIES INC.,18.04,1.69,17.65,18.05,17.65,550962
OPORTUN FINANCIAL,3.08,6.21,3.2,3.31,2.72,550460
LONGEVERON INC.,2.5,11.96,2.58,2.59,2.43,549600
WAYSTAR HOLDING,24.49,2.73,24.15,24.53,23.64,549180
MERIT MEDICAL SYSTEMS INC.,90.49,10.36,90.72,90.96,89.35,548032
THE COOPER COMPANIES INC.,93.13,0.04,93.17,93.58,92.2,544900
ZIMVIE INC.,18.09,2.09,17.69,18.19,17.33,543800
DAVE & BUSTER S ENTERTAINMENT,31.76,10.87,32.04,32.2,31.6,543365
INTERACTIVE BROKERS GROUP INC.,116.55,0.93,115.0,116.96,114.5,541304
CETUS CAPITAL ACQUISITION,2.22,0.0,5.42,5.52,2.08,537723
LIFEMD INC.,5.43,4.02,5.24,5.6,5.24,536669
ACCOLADE INC.,3.52,13.03,3.65,3.7,3.51,533845
AAON INC.,86.67,0.7,86.09,87.93,84.98,533305
SHINECO INC.,0.401,10.83,0.408,0.429,0.3792,531275
ALNYLAM PHARMACEUTICALS INC.,269.52,10.35,270.09,270.53,265.28,529266
ODDITY TECH,37.85,11.94,38.95,38.95,36.73,529053
COGENT COMMUNICATIONS HLD.,71.49,3.92,68.87,71.68,66.75,528327
WHOLE EARTH BRANDS INC.,4.87,0.0,4.88,4.88,4.87,528124
REYNOLDS CONSUMER PRODUCTS,30.14,0.27,29.92,30.33,29.66,526972
LIGHTWAVE LOGIC INC.,2.78,1.46,2.74,2.88,2.7,526143
AERSALE CORP.,5.16,10.96,5.2,5.42,5.02,525412
STEVEN MADDEN LTD.,43.08,0.14,42.82,43.33,42.3,524416
EZCORP INC. NON-VOTING,11.42,0.71,11.52,11.59,11.4,523951
BEAM THERAPEUTICS INC.,24.46,11.81,24.95,25.29,24.15,522403
DRIVEN BRANDS HLD.,13.52,3.28,13.12,13.59,13.07,521459
TRAVERE THERAPEUTICS INC.,8.53,0.0,8.56,8.76,8.43,520254
HUB GROUP INC.,42.74,11.54,43.5,43.78,42.49,519696
INTRA-CELLULAR THERAPIES INC.,73.61,11.09,74.86,75.39,73.0,519649
DAY ONE BIOPHARMACEUTICALS,13.3,1.29,13.17,13.51,12.96,517425
NEXTNAV INC.,7.3,12.28,7.49,7.5,7.1,516902
ULTRAGENYX PHARMACEUTICAL INC.,50.03,10.52,50.11,50.68,49.35,516627
SINCLAIR INC.,13.42,0.37,13.45,13.71,12.68,516350
KEARNY FINANCIAL,6.11,12.55,6.31,6.31,5.93,514816
FRESHPET INC.,128.12,10.91,129.28,129.91,127.15,514716
VACASA INC.,2.39,139.65,3.66,3.74,2.27,514628
LIQUIDIA CORP.,11.65,2.37,11.39,11.91,11.39,513556
SLEEP NUMBER CORP.,12.25,4.34,12.44,13.04,12.08,513556
ZAPATA COMPUTING HLD.,0.4849,4.06,0.4693,0.5096,0.4693,510208
INDIVIOR PLC,12.6,13.74,12.64,12.84,12.44,508541
NAVIENT CORP.,14.65,0.41,14.61,14.73,14.45,506352
COMPASS PATHWAYS PLC ADS,7.06,0.86,7.19,7.19,6.88,504791
AKERO THERAPEUTICS INC.,24.74,10.76,25.31,25.31,23.46,504690
JOYY INC. ADS,33.96,10.38,33.9,34.5,33.79,504525
CINGULATE INC.,2.44,916.67,2.36,2.83,1.83,504151
SUPERNUS PHARMACEUTICALS INC.,32.1,1.97,31.46,32.41,31.46,503404
PRIVIA HEALTH GROUP INC.,19.07,11.45,19.35,19.45,18.89,503317
MMTEC INC.,0.2674,13.43,0.274,0.274,0.261,501096
BIOFRONTERA INC.,1.31,4.8,1.32,1.45,1.22,501091
CONNECTM TECHNOLOGY SOLUTIONS,0.863,2.74,0.8209,0.8998,0.7911,501058
PERELLA WEINBERG PARTNERS,17.74,3.62,17.07,17.77,17.07,500945
PINEAPPLE ENERGY INC.,1.01,10.98,1.04,1.07,0.96,500377
FIRST ADVANTAGE,16.98,11.11,17.15,17.16,16.58,498098
SAGE THERAPEUTICS INC.,8.01,13.26,8.25,8.29,7.98,495820
OPERA LTD.,12.61,0.0,12.66,12.84,12.56,492458
TEXAS ROADHOUSE INC.,167.56,10.32,169.07,169.07,166.55,491070
THE BALDWIN INSURANCE GROUP,41.87,10.26,41.67,42.35,41.59,490367
SAVARA INC.,3.98,11.73,4.05,4.18,3.96,489411
VICTORY CAPITAL HLD.,49.0,4.19,48.0,49.27,47.79,488252
ALGOMA STEEL GROUP INC.,9.06,1.0,8.91,9.15,8.74,488087
LOGITECH INTERNATIONAL S.A. REGISTERED,86.12,0.75,85.77,86.2,85.2,485703
CRITEO S.A. ADS,47.72,1.81,47.0,48.0,46.19,484594
MADRIGAL PHARMACEUTICALS INC.,237.0,12.73,243.87,245.91,234.02,483500
GENMAB A/S ADS,26.43,12.36,26.59,26.61,26.33,482367
NUVALENT INC.,69.99,10.36,70.41,70.68,68.94,482045
TERNS PHARMACEUTICALS INC.,6.58,13.52,6.9,6.96,6.54,481440
NANO-X IMAGING LTD,6.93,11.56,7.05,7.09,6.78,480744
ULTRA CLEAN HOLDINGS INC.,36.16,10.41,36.03,36.76,35.67,477771
POTBELLY CORP.,7.21,5.41,6.76,7.39,6.76,477596
BIOTE CORP.,5.49,118.91,6.67,6.67,5.25,477264
EVOLUS INC.,12.96,10.54,12.87,13.24,12.79,476104
COHU INC.,24.7,10.72,24.91,25.07,24.31,475850
TANGO THERAPEUTICS INC.,8.5,14.6,9.03,9.14,8.32,475366
WAVE LIFE SCIENCES,5.41,15.75,5.75,5.85,5.41,473633
RAPID7 INC.,36.16,11.66,36.7,37.03,36.09,472018
INOVIO PHARMACEUTICALS INC.,8.44,13.1,8.5,8.63,7.83,470920
LAMAR ADVERTISING CO.,115.45,11.0,117.66,117.66,114.32,469974
VANDA PHARMACEUTICALS INC.,5.19,12.26,5.34,5.34,5.16,469599
COMMVAULT SYSTEMS INC.,151.41,1.95,148.37,153.0,148.09,469306
XIAO-I CORP.,0.3741,111.96,0.42,0.4307,0.3629,468782
MERCER INTERNATIONAL INC.,6.93,5.48,6.52,7.35,6.52,468320
BIOATLA INC.,1.47,0.0,1.5,1.58,1.42,467416
ARGENX SE ADS,534.98,1.85,526.95,540.49,526.33,466685
TENAYA THERAPEUTICS INC.,2.65,11.12,2.72,2.96,2.62,466593
ARCTURUS THERAPEUTICS HLD.,18.08,13.78,19.02,19.48,17.75,466267
IMMUNOME INC.,12.92,10.15,13.08,13.29,12.84,465660
HOPE BANCORP INC.,11.68,10.93,11.9,11.9,11.55,465236
POWER INTEGRATIONS INC.,60.36,10.92,60.56,61.51,60.09,465216
ASP ISOTOPES INC.,2.04,15.56,2.14,2.19,2.03,464563
ENERGY RECOVERY INC.,16.65,0.3,16.66,16.87,16.33,464409
HALLADOR ENERGY CO.,5.73,1.78,5.64,5.74,5.48,464039
4D MOLECULAR THERAPEUTICS INC.,14.8,0.48,15.68,16.14,14.73,463577
VERISIGN INC.,175.01,11.27,177.5,177.5,174.46,462182
VIRIDIAN THERAPEUTICS INC.,15.02,10.66,15.27,15.41,14.91,461212
CUREVAC N.V.,3.28,15.2,3.5,3.53,3.25,461154
SHARPS TECHNOLOGY INC.,0.263,14.26,0.2665,0.2762,0.2566,459569
DOCGO INC.,3.54,12.48,3.63,3.77,3.42,458264
ROOT INC.,46.14,7.33,43.12,46.88,42.5,458224
ENCORE ENERGY CORP.,3.14,12.18,3.22,3.24,3.14,457121
PHILLIPS EDISON & CO.,34.87,0.37,34.86,34.97,34.59,455852
WARRANTEE INC. ADS,0.2716,0.0,0.2717,0.281,0.251,455579
AVIS BUDGET GROUP INC.,86.96,12.61,88.1,88.56,84.93,454982
ALTAIR ENGINEERING INC.,89.26,0.04,88.83,89.75,88.36,454077
SANMINA CORP.,69.48,10.98,69.7,70.63,69.08,453787
BRAZE INC.,40.18,1.01,39.91,40.32,39.38,453333
NERDWALLET INC.,11.31,2.26,11.08,11.36,10.99,452964
HEALTHEQUITY INC.,71.17,11.04,71.51,72.66,71.1,452493
AUTOLUS THERAPEUTICS PLC ADS,3.67,0.82,3.8,3.8,3.55,451912
PLIANT THERAPEUTICS INC.,12.28,0.16,12.26,12.6,12.22,451619
REPLIGEN CORP.,165.16,10.98,166.85,166.85,163.47,450623
SURMODICS INC.,41.1,10.02,41.1,41.3,41.01,448154
UNITED BANKSHARES INC.,35.74,11.33,36.12,36.42,35.65,447047
JACK IN THE BOX INC.,53.53,1.85,52.98,54.19,52.11,445378
THE MIDDLEBY CORP.,135.82,11.39,137.23,138.82,135.33,444658
MONOLITHIC POWER SYSTEMS INC.,823.0,12.43,838.23,842.63,809.54,441711
LUCAS GC LTD.,1.29,14.44,1.19,1.41,1.19,440772
AMERICAN RESOURCES,0.4815,16.32,0.52,0.53,0.4731,438823
LIBERTY BROADBAND,64.66,10.37,64.81,65.2,63.98,436710
THE SHYFT GROUP INC.,13.58,10.59,13.74,13.74,13.32,436507
IRHYTHM TECHNOLOGIES INC.,70.99,0.18,70.34,72.32,69.37,436211
SIMMONS FIRST NATIONAL,19.45,0.0,19.37,19.49,19.19,434272
INOGEN INC,12.32,5.57,11.65,12.39,11.59,433958
CASTLE BIOSCIENCES INC.,26.83,13.63,27.97,28.17,26.68,432710
NUVEI CORP.,33.22,0.3,33.12,33.26,33.11,432342
ACLARIS THERAPEUTICS INC.,1.16,10.85,1.18,1.19,1.15,431689
QUALYS INC.,125.93,10.94,127.86,127.92,125.18,431568
FITELL CORP.,13.5,111.99,15.35,16.83,11.01,431443
LIGHT & WONDER INC.,101.73,10.57,102.31,103.23,100.08,430902
TALEN ENERGY CORP.,123.56,3.41,119.48,125.0,118.25,430839
SNOW LAKE RESOURCES,0.465,13.13,0.4704,0.48,0.4098,430741
POET TECHNOLOGIES INC.,2.5,14.94,2.7,2.7,2.45,430729
NKARTA INC.,4.93,16.1,5.37,5.56,4.88,430513
PHOTRONICS INC.,21.63,11.59,21.74,22.01,21.47,430217
ZIFF DAVIS INC.,41.3,0.83,41.05,42.1,40.65,429439
AXSOME THERAPEUTICS INC.,83.09,12.25,84.59,86.4,82.71,428591
HESAI GROUP ADS,3.55,13.01,3.7,3.75,3.52,428529
AVITA MEDICAL INC.,9.57,20.68,8.52,9.76,8.32,428229
VOYAGER THERAPEUTICS INC.,6.92,14.68,7.28,7.28,6.86,428032
ABEONA THERAPEUTICS INC.,4.42,11.12,4.49,4.57,4.37,427199
RAMACO RESOURCES INC.,13.32,2.38,13.05,13.34,12.69,426147
BEYOND AIR INC.,0.4221,0.5,0.438,0.5543,0.4221,425908
VERA THERAPEUTICS INC.,35.98,0.36,34.86,36.41,34.51,425145
PYXIS ONCOLOGY INC.,3.29,15.46,3.48,3.55,3.23,425101
APPLIED DNA SCIENCES INC.,0.36,2.86,0.364,0.38,0.3413,424759
AEMETIS INC,2.45,14.67,2.6,2.63,2.42,423036
BIONTECH SE ADS,80.8,0.34,80.5,81.1,79.14,421050
SUTRO BIOPHARMA INC.,3.12,13.11,3.23,3.33,3.04,419941
EDGEWISE THERAPEUTICS INC.,16.45,1.61,16.22,16.7,15.94,418712
SKYWARD SPECIALTY INSURANCE GROUP,35.95,14.36,37.54,37.8,35.4,418672
TARGET HOSPITALITY,9.87,11.5,10.02,10.07,9.8,416711
REGENERON PHARMACEUTICALS INC.,1131.24,1.61,1113.0,1133.0,1111.11,416607
THE BANCORP INC.,46.92,10.8,47.26,47.65,46.32,416533
FTAI AVIATION LTD.,104.7,10.06,104.2,105.26,103.59,415676
BRIGHTSPRING HEALTH SERVICES,11.54,0.17,11.49,11.79,11.46,414051
CROWN LNG HOLDINGS,0.4337,12.32,0.4504,0.4543,0.4334,413481
COLLEGIUM PHARMACEUTICAL INC.,35.5,0.51,34.61,35.53,34.38,413104
UPBOUND GROUP INC.,32.19,10.74,32.58,32.58,31.89,413058
FUTU HOLDINGS LTD.,58.24,10.78,58.29,58.44,57.2,412411
ALTISOURCE PORTFOLIO SOLUTIONS S.A.,1.13,120.98,1.41,1.5,1.08,411464
FIRST HAWAIIAN INC.,23.33,0.39,23.31,23.42,23.1,411441
ORTHOFIX MEDICAL INC.,16.17,14.43,16.8,16.8,15.77,410230
INTERDIGITAL INC.,139.29,10.12,139.5,140.01,138.34,409159
TIZIANA LIFE SCIENCES LTD,1.35,3.85,1.31,1.43,1.2,408879
ALLEGIANT TRAVEL CO.,38.63,15.55,40.89,40.89,38.49,407990
HUDSON TECHNOLOGIES INC.,7.85,11.38,7.94,7.98,7.64,407424
SIGA TECHNOLOGIES INC.,8.69,15.34,9.25,9.35,8.66,405108
EXAGEN INC.,3.38,22.46,2.81,3.46,2.73,404020
WAG! GROUP CO.,0.95,17.77,1.01,1.02,0.9119,401440
JACK HENRY & ASSOCIATES INC.,166.44,10.54,167.5,168.49,166.02,401391
FIRST FINANCIAL BANKSHARES,34.8,10.83,34.94,35.06,34.49,401110
POSEIDA THERAPEUTICS INC.,2.83,16.6,3.04,3.04,2.83,400912
JANUX THERAPEUTICS INC.,35.86,11.73,36.19,36.95,34.87,400907
UNIQURE N.V.,7.15,11.11,7.29,7.3,7.03,400372
SPRUCE BIOSCIENCES INC.,0.4375,11.55,0.4499,0.4512,0.426,399709
XENON PHARMACEUTICALS INC.,39.7,13.19,36.92,42.38,36.0,399057
SILENCE THERAPEUTICS PLC ADS,16.52,11.08,16.73,17.37,16.29,398598
MARTEN TRANSPORT,16.96,12.81,17.47,17.47,16.95,398082
SAIA INC.,371.11,13.54,384.07,386.86,369.56,397371
UP FINTECH HOLDING,3.63,10.82,3.67,3.69,3.6,397262
ATLANTA BRAVES HLD.,42.06,11.43,42.62,42.63,41.82,396706
INSPIRE VETERINARY PARTNERS,5.7,4.59,5.56,5.9,5.11,396574
GRITSTONE BIO INC.,0.4898,15.02,0.52,0.53,0.4888,395536
89BIO INC.,7.8,12.38,7.98,8.04,7.78,394878
AXCELIS TECHNOLOGIES INC.,112.47,12.06,112.85,116.46,110.88,394495
MONOPAR THERAPEUTICS INC.,0.442,119.64,0.4801,0.4801,0.401,394247
NURIX THERAPEUTICS INC.,20.82,3.27,20.2,21.09,19.9,394002
FRACTYL HEALTH INC.,1.78,12.2,1.8,1.9,1.75,392817
AWARE INC.,2.69,26.89,2.2,2.75,2.18,392148
CROSSFIRST BANKSHARES INC.,16.17,11.88,16.45,16.46,16.06,391196
J-LONG GROUP LTD.,0.3496,2.13,0.3489,0.3681,0.3326,390606
SKYE BIOSCIENCE INC.,4.52,19.42,5.02,5.16,4.52,388854
LEONARDO DRS INC.,27.6,0.22,27.54,27.99,27.17,388781
ICHOR HOLDINGS,28.9,11.23,29.13,29.87,28.62,388644
MARINUS PHARMACEUTICALS INC.,1.22,12.4,1.25,1.29,1.21,388097
HERITAGE GLOBAL INC.,1.92,116.88,1.87,1.95,1.69,386834
HIGHPEAK ENERGY INC.,14.97,1.35,14.77,15.16,14.58,386170
ONEMEDNET CORP,1.06,10.42,0.99,1.11,0.96,385883
RELMADA THERAPEUTICS INC.,2.3,0.0,2.48,2.89,2.21,384686
ALT5 SIGMA CORP.,1.97,44.85,1.38,1.97,1.38,384197
AMERICAN PUBLIC EDUCATION INC.,13.65,2.94,13.3,13.88,13.3,383001
GREAT LAKES DREDGE & DOCK,8.73,12.02,8.93,9.03,8.68,382485
RED ROCK RESORTS INC.,54.91,0.38,54.64,55.41,54.0,379453
WM TECHNOLOGY INC.,0.9784,3.91,0.95,0.9984,0.9402,376042
MIRUM PHARMACEUTICALS INC.,40.02,0.38,39.76,40.2,38.88,375533
WAFD INC.,33.6,10.18,33.58,33.79,32.58,374023
PARAZERO TECHNOLOGIES,0.64,3.06,0.612,0.665,0.612,373825
HANCOCK WHITNEY,48.68,10.06,48.57,48.89,48.15,372196
NOVO INTEGRATED SCIENCES INC.,0.5112,19.15,0.5627,0.5627,0.4952,371929
NEXSTAR MEDIA GROUP INC.,158.29,13.22,162.37,162.4,157.73,370822
WILLIS TOWERS WATSON PUBLIC,276.61,10.47,277.19,278.02,273.7,370779
VERISK ANALYTICS INC.,264.12,10.18,263.96,264.4,262.45,370698
ORIC PHARMACEUTICALS INC.,8.39,14.98,8.88,9.1,8.11,370621
RCI HOSPITALITY HLD.,46.5,6.04,47.86,52.63,46.02,370464
ANSYS INC.,311.15,0.68,308.61,313.89,306.23,369793
MAXCYTE INC.,4.18,0.0,4.16,4.27,4.06,369615
HERITAGE COMMERCE CORP,9.5,0.11,9.5,9.53,9.36,367382
METHANEX CORP.,42.22,0.0,42.22,42.67,42.06,367231
EQUINIX INC.,818.88,1.16,811.95,823.34,804.37,365876
FIRST INTERSTATE BANCSYSTEM,28.28,10.56,28.35,28.51,28.0,365708
AMPHASTAR PHARMACEUTICALS INC.,42.85,12.75,43.99,44.36,42.82,365605
COLUMBIA SPORTSWEAR CO.,80.52,11.58,81.91,82.03,79.88,365011
PAYLOCITY HOLDING,154.83,11.31,156.62,157.82,153.94,364991
EAST WEST BANCORP INC.,78.11,10.51,78.15,78.67,77.76,363409
HEALTHCARE SERVICES GROUP INC.,10.48,10.95,10.61,10.61,10.41,362341
LIBERTY LATIN AMERICA,9.08,13.61,9.42,9.53,9.01,362149
BIOVENTUS INC.,7.59,10.13,7.61,7.72,7.51,361824
CAPRICOR THERAPEUTICS INC.,3.76,13.09,3.91,4.02,3.71,360131
OFFICE PROPERTIES INCOME TRUST,2.23,11.76,2.25,2.28,2.2,359988
GAN LTD.,1.55,1.31,1.57,1.58,1.53,358120
REGENXBIO INC.,11.68,11.77,11.89,12.08,11.65,356764
AETHLON MEDICAL INC.,0.3,13.01,0.31,0.324,0.2993,356443
INMED PHARMACEUTICALS INC.,0.14,10.71,0.142,0.155,0.14,355628
TRINITY CAPITAL INC.,14.43,10.41,14.54,14.58,14.38,354544
AEROVATE THERAPEUTICS INC.,1.69,10.59,1.71,1.74,1.63,354464
PULMONX CORP.,5.59,14.77,5.85,5.95,5.54,354171
IDEXX LABORATORIES INC.,482.84,10.22,482.41,486.9,476.99,354043
MONTAUK RENEWABLES INC.,4.28,120.0,5.23,5.23,4.27,353938
OHMYHOME LTD.,0.51,13.77,0.5395,0.5395,0.47,353802
SPROUT SOCIAL INC,31.71,1.77,31.2,32.08,31.15,353588
KAIVAL BRANDS INNOVATIONS GROUP,0.7611,22.92,0.63,0.88,0.62,352922
EHANG HOLDINGS LTD.,12.74,1.19,12.55,12.95,12.36,352904
VAREX IMAGING CORP.,11.2,11.67,11.35,11.39,10.94,351914
GSE SYSTEMS INC.,4.0,0.5,3.96,4.02,3.91,351900
XENCOR INC.,16.04,10.12,16.07,16.57,15.92,348019
CELLECTAR BIOSCIENCES INC.,1.93,0.0,1.93,2.02,1.87,347500
TETRA TECH INC.,226.89,12.1,230.54,230.62,225.0,347277
NETSCOUT SYSTEMS INC.,18.97,10.11,19.03,19.06,18.6,347063
CLARUS CORP.,4.55,2.02,4.58,4.67,4.5,346923
AVID BIOSERVICES INC.,10.53,10.38,10.59,10.95,10.36,346317
FLY-E GROUP INC.,0.63,12.93,0.6545,0.66,0.6201,346154
ALECTOR INC.,5.08,10.39,5.1,5.14,4.98,345501
HANMI FINANCIAL,18.3,11.56,18.51,18.51,18.16,345436
SELECTIVE INSURANCE GROUP INC.,85.66,0.69,85.01,85.73,84.07,344643
PIEDMONT LITHIUM INC.,8.3,15.57,8.87,9.02,8.16,344486
AGIOS PHARMACEUTICALS INC.,43.7,10.21,43.95,44.4,42.89,343720
MOUNTAIN,11.67,0.0,11.65,11.67,11.62,343514
RESOURCES CONNECTION INC.,10.07,11.56,10.24,10.25,9.83,343446
ARKO CORP.,6.21,13.42,6.47,6.47,6.05,343084
COMTECH TELECOM,3.17,0.63,3.16,3.35,3.1,342738
CROSS COUNTRY HEALTHCARE INC.,15.28,12.49,15.79,15.79,14.98,341891
FIBROBIOLOGICS INC.,1.97,112.83,2.2,2.21,1.84,341767
CELLDEX THERAPEUTICS INC.,32.92,0.64,32.83,34.26,32.45,341074
SILICON LABORATORIES INC.,99.45,11.21,100.0,100.07,97.58,340915
ATOSSA THERAPEUTICS INC.,1.17,12.5,1.2,1.22,1.17,339988
NOCO-NOCO INC. ORD.,0.1638,12.5,0.1641,0.1723,0.1612,339621
CHECKPOINT THERAPEUTICS INC.,2.25,13.43,2.32,2.32,2.2,339282
ARGO BLOCKCHAIN PLC ADS,1.2,10.83,1.26,1.26,1.17,338236
I3 VERTICALS INC.,22.42,17.47,22.86,24.07,20.9,337635
TEMPUS AI INC.,38.75,10.46,39.0,39.78,38.57,336632
XTI AEROSPACE INC.,0.2169,11.41,0.215,0.2229,0.2103,335665
STAGWELL INC.,6.27,0.16,6.23,6.32,6.16,334364
DIGI INTERNATIONAL INC.,27.22,11.31,27.54,27.54,26.5,332994
JAMF HOLDING CORP.,16.76,0.18,16.68,16.9,16.32,332941
CENTESSA PHARMACEUTICALS PLC ADS,11.04,13.16,11.42,11.61,10.99,332516
SILO PHARMA INC.,1.29,4.03,1.22,1.39,1.22,332157
JAZZ PHARMACEUTICALS PLC,111.37,11.42,112.73,112.84,111.31,331145
UPLAND SOFTWARE INC.,1.89,15.97,1.99,2.01,1.86,330005
KARYOPHARM THERAPEUTICS INC.,0.81,13.39,0.84,0.8449,0.81,329845
STRONGHOLD DIGITAL MINING INC.,2.82,4.06,2.7,2.82,2.56,329774
WIX.COM,162.45,10.78,161.8,163.21,160.01,329457
WESBANCO INC.,29.62,11.53,30.1,30.42,29.24,327180
LYTUS TECHNOLOGIES HLD.,2.4,2.13,2.3,2.58,2.21,326261
BIG 5 SPORTING GOODS,1.49,11.97,1.52,1.53,1.45,325278
CONCENTRIX CORP.,64.71,0.84,64.07,64.8,62.8,325068
HELEN OF TROY LTD.,53.28,13.2,55.26,55.26,53.28,323253
INOTIV INC.,1.67,10.6,1.56,1.71,1.53,321936
RENEW ENERGY GLOBAL PLC SHARES,5.93,10.67,5.97,5.98,5.83,321868
CAL-MAINE FOODS INC.,70.32,0.47,70.29,70.38,69.19,321400
MACOM TECHNOLOGY SOLUTIONS HLD.,101.41,0.53,100.18,101.68,99.17,320728
SEI INVESTMENTS CO.,65.08,10.11,65.13,65.91,64.23,319982
WOODWARD INC.,156.92,10.44,157.85,158.6,155.43,319780
ONESPAWORLD HOLDINGS,15.36,0.0,15.36,15.55,15.31,317686
BEIGENE LTD. ADS,182.76,10.15,180.49,184.65,178.92,317453
CORBUS PHARMACEUTICALS HLD.,56.57,5.54,53.59,57.91,51.8,317412
THERAVANCE BIOPHARMA INC.,7.66,10.26,7.75,7.76,7.44,316595
CONSENSUS CLOUD SOLUTIONS INC.,19.87,2.0,21.82,23.81,19.42,315701
NORTHWESTERN ENERGY GROUP INC.,52.17,10.02,52.09,52.41,51.4,315219
TEXAS CAPITAL BANCSHARES INC.,60.11,0.99,59.52,60.21,58.51,314314
EHEALTH INC.,4.45,9.34,4.41,4.55,4.3,313158
MAWSON INFRASTRUCTURE GROUP,1.09,1.87,1.09,1.18,1.04,313147
MERUS N.V.,50.74,1.46,49.86,51.3,49.45,312347
WINTRUST FINANCIAL,98.09,10.05,98.05,98.54,97.1,312105
JAMES RIVER GROUP HLD.,7.29,10.95,7.39,7.5,7.13,311921
SOLIDION TECHNOLOGY INC.,0.3672,12.03,0.3766,0.3823,0.3502,311882
PIXELWORKS INC.,0.8396,11.25,0.86,0.8651,0.802,311814
LION GROUP HOLDING,0.2883,2.96,0.2845,0.31,0.2845,311515
ONESTREAM INC.,27.35,0.37,27.33,27.96,27.0,311325
THE VITA COCO CO.,25.6,0.2,25.49,25.7,24.89,310958
DOMO INC.,7.28,14.21,7.59,7.61,7.26,310896
INTAPP INC.,32.57,10.4,32.59,33.16,32.18,310787
SELLAS LIFE SCIENCES GROUP,1.21,0.83,1.22,1.22,1.17,310310
NORTHFIELD BANCORP INC.,11.27,10.44,11.3,11.33,11.09,309865
PETMED EXPRESS INC.,3.09,15.21,3.22,3.24,3.08,309702
AMERICAN COASTAL INSURANCE,11.48,1.86,11.34,11.59,11.1,309580
HOLDCO NUVO GROUP D.G,0.46,9.76,0.4107,0.54,0.4,309434
OMEROS CORP.,4.12,5.37,3.9,4.16,3.9,308797
MOONLAKE IMMUNOTHERAPEUTICS,44.25,13.91,46.46,47.07,43.44,308310
F5 INC.,192.0,1.4,189.03,192.13,188.31,307984
TMC THE METALS CO.,1.02,0.0,1.03,1.04,1.0,307639
WESTROCK COFFEE CO.,9.26,10.86,9.4,9.47,8.65,307054
MOMENTUS INC.,0.4735,10.86,0.51,0.5568,0.4257,306724
WALKME,13.9,0.07,13.87,13.92,13.85,306724
MAKEMYTRIP LTD.,93.99,0.46,92.57,94.93,92.12,306214
NEUMORA THERAPEUTICS INC.,11.26,0.18,11.2,11.49,11.01,305677
